escenario mopc_60 netconvert_90 largo_120
corredor 51.7 59.8 69.7
baja 68.3 68.9 70.3
media 47.0 47.9 48.5
alta 34.2 32.8 38.5
saturada 23.7 34.6 32.5
pico 40.8 39.9 40.7
