escenario s0 s1 s2 s3 s4 s5 s6 s7 s8 s9
corredor 148.5 20.4 22.4 137.3 20.3 348.3 21.2 141.3 17.0 22.8
baja -21.9 13.7 12.1 -53.3 15.9 17.3 15.9 18.2 13.3 16.9
media 27.2 361.0 31.2 -65.0 142.6 66.0 30.7 275.8 155.8 28.4
alta 23.3 -63.8 33.3 25.4 -0.7 7.6 23.3 -55.0 23.5 -61.3
saturada 25.1 25.3 17.5 -41.5 -45.1 104.1 28.4 332.8 -30.7 40.5
pico 28.7 -13.8 13.5 24.8 23.6 24.0 111.8 -37.5 46.1 -52.1
