campana escenario seed thr sys favorable
netconvert_90 hora_pico seed_281772 -46.7 -47.4 0
netconvert_90 hora_pico seed_372292 65.7 8.1 1
netconvert_90 hora_pico seed_400290 19.3 -0.7 1
netconvert_90 hora_pico seed_423459 21.5 0.8 1
netconvert_90 hora_pico seed_449463 295.4 25.7 1
netconvert_90 hora_pico seed_843099 -42.0 -12.7 0
netconvert_90 hora_pico seed_950893 11.3 -2.0 1
netconvert_90 hora_pico seed_974616 -53.4 -15.0 0
largo_120 corredor seed_157300 148.5 56.3 1
largo_120 corredor seed_214181 20.4 21.9 1
largo_120 corredor seed_281772 22.4 27.1 1
largo_120 corredor seed_372292 137.3 64.9 1
largo_120 corredor seed_400290 20.3 28.2 1
largo_120 corredor seed_423459 348.3 48.9 1
largo_120 corredor seed_449463 21.2 29.0 1
largo_120 corredor seed_843099 141.3 61.5 1
largo_120 corredor seed_950893 17.0 24.0 1
largo_120 corredor seed_974616 22.8 23.8 1
largo_120 demanda_baja seed_157300 -21.9 -5.9 0
largo_120 demanda_baja seed_214181 13.7 38.6 1
largo_120 demanda_baja seed_281772 12.1 41.4 1
largo_120 demanda_baja seed_372292 -53.3 -16.3 0
largo_120 demanda_baja seed_400290 15.9 37.5 1
largo_120 demanda_baja seed_423459 17.3 39.2 1
largo_120 demanda_baja seed_449463 15.9 40.6 1
largo_120 demanda_baja seed_843099 18.2 39.2 1
largo_120 demanda_baja seed_950893 13.3 39.8 1
largo_120 demanda_baja seed_974616 16.9 41.2 1
largo_120 demanda_media seed_157300 27.2 3.1 1
largo_120 demanda_media seed_214181 361.0 29.3 1
largo_120 demanda_media seed_281772 31.2 8.1 1
largo_120 demanda_media seed_372292 -65.0 -24.1 0
largo_120 demanda_media seed_400290 142.6 10.5 1
largo_120 demanda_media seed_423459 66.0 21.4 1
largo_120 demanda_media seed_449463 30.7 5.8 1
largo_120 demanda_media seed_843099 275.8 9.9 1
largo_120 demanda_media seed_950893 155.8 37.8 1
largo_120 demanda_media seed_974616 28.4 4.9 1
largo_120 demanda_alta seed_157300 23.3 -3.1 1
largo_120 demanda_alta seed_214181 -63.8 -15.5 0
largo_120 demanda_alta seed_281772 33.3 0.9 1
largo_120 demanda_alta seed_372292 25.4 -7.6 1
largo_120 demanda_alta seed_400290 -0.7 -19.0 0
largo_120 demanda_alta seed_423459 7.6 -10.0 0
largo_120 demanda_alta seed_449463 23.3 -3.5 1
largo_120 demanda_alta seed_843099 -55.0 -22.6 0
largo_120 demanda_alta seed_950893 23.5 -5.2 1
largo_120 demanda_alta seed_974616 -61.3 -17.2 0
largo_120 demanda_saturada seed_157300 25.1 -7.1 1
largo_120 demanda_saturada seed_214181 25.3 -7.5 1
