escenario s0 s1 s2 s3 s4 s5 s6 s7 s8 s9
corredor 56.3 54.6 57.1 57.3 63.4 63.1 57.1 57.3 62.6 60.9
baja 14.9 42.4 44.2 -2.5 43.4 42.9 43.2 42.8 39.8 43.0
media 21.5 23.5 10.7 -20.8 21.6 20.1 23.8 15.5 30.8 7.2
alta 8.8 2.0 10.1 13.6 -15.3 -12.6 1.7 -24.2 18.4 -14.8
saturada 9.3 6.6 -7.3 -5.1 -4.8 19.1 32.1 -0.6 9.2 5.4
pico 18.9 -10.8 -25.0 0.1 2.7 6.5 8.8 3.3 9.5 -10.8
