escenario s0 s1 s2 s3 s4 s5 s6 s7 s8 s9
corredor 236.9 244.4 195.3 237.6 200.9 214.1 191.0 237.0 177.2 153.0
baja 8.8 3.7 4.1 -56.8 6.8 6.7 4.9 7.0 3.0 6.1
media 63.6 54.5 24.6 -67.2 59.9 27.6 197.2 49.1 435.3 22.4
alta 50.0 -50.5 74.6 146.5 -5.3 -5.9 23.4 -56.5 128.4 -64.5
saturada 184.8 28.5 5.3 71.0 -45.6 197.7 208.9 27.0 59.8 32.8
pico 85.7 -17.1 -33.4 22.5 22.9 28.5 39.1 -1.7 93.4 -50.1
