escenario mopc_60 netconvert_90 largo_120
corredor 207.5 159.6 22.6
baja 5.5 10.9 14.8
media 51.8 25.5 48.6
alta 9.0 7.6 15.4
saturada 46.3 19.6 25.2
pico 22.7 15.3 23.8
