escenario s0 s1 s2 s3 s4 s5 s6 s7 s8 s9
corredor 18.3 137.9 171.5 17.0 18.3 240.6 158.0 161.2 163.8 237.1
baja -24.8 11.1 9.2 -54.9 12.0 11.4 56.2 728.4 8.5 10.6
media 23.5 14.0 26.4 -66.8 17.3 36.6 24.5 232.7 29.0 32.4
alta 101.9 -65.1 24.7 378.7 -5.9 -32.3 186.2 -53.5 21.2 -64.6
saturada 18.8 17.9 4.7 89.5 -49.2 20.3 15.9 23.4 125.7 75.7
pico 19.9 -17.0 -46.7 65.7 19.3 21.5 295.4 -42.0 11.3 -53.4
