escenario s0 s1 s2 s3 s4 s5 s6 s7 s8 s9
corredor 24.1 60.9 56.4 24.5 25.7 62.0 57.6 61.0 57.9 60.1
baja -4.1 39.9 42.1 -14.3 37.0 34.6 54.4 61.3 34.7 34.9
media 6.0 8.9 11.2 -19.0 1.6 16.6 9.3 29.3 18.4 8.6
alta 1.3 -9.7 -2.2 8.8 -20.0 -16.8 24.2 -18.7 -4.7 -20.1
saturada -4.4 -5.4 -15.5 -9.4 -12.4 -5.0 -3.4 -6.1 -4.2 6.0
pico 3.7 -12.1 -47.4 8.1 -0.7 0.8 25.7 -12.7 -2.0 -15.0
